,support,itemsets
0,0.32172351885098743,frozenset({'Atingido_Enchente'})
1,0.10215439856373429,frozenset({'Nao_ATV_P&DC'})
2,0.47540394973070016,frozenset({'Tem_Instr_Deslizamento'})
3,0.451705565529623,frozenset({'Tem_Red_Des'})
4,0.35152603231597845,frozenset({'Atingido_Alagamentos'})
5,0.3073608617594255,frozenset({'Atingido_Enxurrada'})
6,0.06714542190305206,frozenset({'Nao_Red_Enxurrada'})
7,0.4398563734290844,frozenset({'Nao_Instr_Inundacao'})
8,0.16786355475763015,frozenset({'Atingido_Des'})
9,0.0822262118491921,frozenset({'Nao_Red_Enchente'})
10,0.07486535008976661,frozenset({'BA'})
11,0.15314183123877917,frozenset({'MG'})
12,0.11579892280071813,frozenset({'SP'})
13,0.07163375224416517,frozenset({'PR'})
14,0.05296229802513465,frozenset({'SC'})
15,0.08922800718132855,frozenset({'RS'})
16,0.26552962298025135,"frozenset({'Atingido_Alagamentos', 'Atingido_Enchente'})"
17,0.21579892280071813,"frozenset({'Atingido_Enchente', 'Tem_Instr_Deslizamento'})"
18,0.21023339317773787,"frozenset({'Atingido_Enchente', 'Tem_Red_Des'})"
19,0.06768402154398563,"frozenset({'Atingido_Enchente', 'Nao_Instr_Inundacao'})"
20,0.1867145421903052,"frozenset({'Atingido_Alagamentos', 'Atingido_Enchente', 'Tem_Instr_Deslizamento'})"
21,0.2035906642728905,"frozenset({'Atingido_Enchente', 'Tem_Red_Des', 'Tem_Instr_Deslizamento'})"
22,0.1836624775583483,"frozenset({'Atingido_Alagamentos', 'Atingido_Enchente', 'Tem_Red_Des'})"
23,0.1779174147217235,"frozenset({'Atingido_Alagamentos', 'Atingido_Enchente', 'Tem_Red_Des', 'Tem_Instr_Deslizamento'})"
24,0.06750448833034112,"frozenset({'Nao_ATV_P&DC', 'Nao_Instr_Inundacao'})"
25,0.43770197486535006,"frozenset({'Tem_Red_Des', 'Tem_Instr_Deslizamento'})"
26,0.2421903052064632,"frozenset({'Atingido_Alagamentos', 'Tem_Instr_Deslizamento'})"
27,0.236983842010772,"frozenset({'Atingido_Alagamentos', 'Tem_Red_Des'})"
28,0.07055655296229803,"frozenset({'Atingido_Alagamentos', 'Nao_Instr_Inundacao'})"
29,0.2289048473967684,"frozenset({'Atingido_Alagamentos', 'Tem_Red_Des', 'Tem_Instr_Deslizamento'})"
30,0.23285457809694793,"frozenset({'Atingido_Alagamentos', 'Atingido_Enxurrada'})"
31,0.21220825852782765,"frozenset({'Atingido_Enchente', 'Atingido_Enxurrada'})"
32,0.2087971274685817,"frozenset({'Atingido_Enxurrada', 'Tem_Instr_Deslizamento'})"
33,0.2050269299820467,"frozenset({'Tem_Red_Des', 'Atingido_Enxurrada'})"
34,0.06068222621184919,"frozenset({'Nao_Instr_Inundacao', 'Atingido_Enxurrada'})"
35,0.1888689407540395,"frozenset({'Atingido_Alagamentos', 'Atingido_Enchente', 'Atingido_Enxurrada'})"
36,0.16696588868940754,"frozenset({'Atingido_Alagamentos', 'Atingido_Enxurrada', 'Tem_Instr_Deslizamento'})"
37,0.15080789946140036,"frozenset({'Atingido_Enchente', 'Atingido_Enxurrada', 'Tem_Instr_Deslizamento'})"
38,0.13734290843806105,"frozenset({'Atingido_Enchente', 'Atingido_Alagamentos', 'Atingido_Enxurrada', 'Tem_Instr_Deslizamento'})"
39,0.19712746858168761,"frozenset({'Tem_Red_Des', 'Atingido_Enxurrada', 'Tem_Instr_Deslizamento'})"
40,0.16463195691202873,"frozenset({'Atingido_Alagamentos', 'Tem_Red_Des', 'Atingido_Enxurrada'})"
41,0.14919210053859963,"frozenset({'Atingido_Enchente', 'Tem_Red_Des', 'Atingido_Enxurrada'})"
42,0.15834829443447038,"frozenset({'Atingido_Alagamentos', 'Tem_Red_Des', 'Atingido_Enxurrada', 'Tem_Instr_Deslizamento'})"
43,0.1436265709156194,"frozenset({'Atingido_Enchente', 'Tem_Red_Des', 'Atingido_Enxurrada', 'Tem_Instr_Deslizamento'})"
44,0.136983842010772,"frozenset({'Atingido_Alagamentos', 'Tem_Red_Des', 'Atingido_Enxurrada', 'Atingido_Enchente'})"
45,0.13177737881508078,"frozenset({'Atingido_Alagamentos', 'Atingido_Enchente', 'Tem_Red_Des', 'Atingido_Enxurrada', 'Tem_Instr_Deslizamento'})"
46,0.06714542190305206,"frozenset({'Nao_Red_Enxurrada', 'Atingido_Enxurrada'})"
47,0.06229802513464991,"frozenset({'Nao_Instr_Inundacao', 'Tem_Red_Des'})"
48,0.05942549371633752,"frozenset({'Nao_Instr_Inundacao', 'Tem_Instr_Deslizamento'})"
49,0.0526032315978456,"frozenset({'Nao_Instr_Inundacao', 'Tem_Red_Des', 'Tem_Instr_Deslizamento'})"
50,0.11615798922800719,"frozenset({'Atingido_Des', 'Atingido_Enxurrada'})"
51,0.11328545780969479,"frozenset({'Atingido_Enchente', 'Atingido_Des'})"
52,0.15816876122082585,"frozenset({'Atingido_Des', 'Tem_Red_Des'})"
53,0.14578096947935368,"frozenset({'Atingido_Des', 'Tem_Instr_Deslizamento'})"
54,0.1258527827648115,"frozenset({'Atingido_Alagamentos', 'Atingido_Des'})"
55,0.10933572710951527,"frozenset({'Atingido_Des', 'Tem_Red_Des', 'Atingido_Enxurrada'})"
56,0.10269299820466786,"frozenset({'Atingido_Des', 'Atingido_Enxurrada', 'Tem_Instr_Deslizamento'})"
57,0.10125673249551168,"frozenset({'Atingido_Alagamentos', 'Atingido_Des', 'Atingido_Enxurrada'})"
58,0.10143626570915619,"frozenset({'Atingido_Des', 'Tem_Red_Des', 'Atingido_Enxurrada', 'Tem_Instr_Deslizamento'})"
59,0.09676840215439857,"frozenset({'Atingido_Alagamentos', 'Atingido_Des', 'Tem_Red_Des', 'Atingido_Enxurrada'})"
60,0.09156193895870736,"frozenset({'Atingido_Alagamentos', 'Atingido_Des', 'Atingido_Enxurrada', 'Tem_Instr_Deslizamento'})"
61,0.09048473967684022,"frozenset({'Atingido_Des', 'Atingido_Alagamentos', 'Tem_Red_Des', 'Atingido_Enxurrada', 'Tem_Instr_Deslizamento'})"
62,0.09317773788150809,"frozenset({'Atingido_Enchente', 'Atingido_Des', 'Atingido_Enxurrada'})"
63,0.1073608617594255,"frozenset({'Atingido_Enchente', 'Atingido_Des', 'Tem_Red_Des'})"
64,0.10197486535008976,"frozenset({'Atingido_Alagamentos', 'Atingido_Des', 'Atingido_Enchente'})"
65,0.10143626570915619,"frozenset({'Atingido_Enchente', 'Atingido_Des', 'Tem_Instr_Deslizamento'})"
66,0.08868940754039498,"frozenset({'Atingido_Enchente', 'Atingido_Des', 'Tem_Red_Des', 'Atingido_Enxurrada'})"
67,0.08689407540394974,"frozenset({'Atingido_Alagamentos', 'Atingido_Des', 'Atingido_Enchente', 'Atingido_Enxurrada'})"
68,0.0836624775583483,"frozenset({'Atingido_Enchente', 'Atingido_Des', 'Atingido_Enxurrada', 'Tem_Instr_Deslizamento'})"
69,0.08348294434470377,"frozenset({'Atingido_Des', 'Atingido_Alagamentos', 'Atingido_Enchente', 'Tem_Red_Des', 'Atingido_Enxurrada'})"
70,0.08312387791741473,"frozenset({'Atingido_Des', 'Atingido_Enchente', 'Tem_Red_Des', 'Atingido_Enxurrada', 'Tem_Instr_Deslizamento'})"
71,0.07881508078994615,"frozenset({'Atingido_Des', 'Atingido_Alagamentos', 'Atingido_Enchente', 'Atingido_Enxurrada', 'Tem_Instr_Deslizamento'})"
72,0.07827648114901256,"frozenset({'Atingido_Des', 'Atingido_Alagamentos', 'Atingido_Enchente', 'Tem_Red_Des', 'Atingido_Enxurrada', 'Tem_Instr_Deslizamento'})"
73,0.09820466786355475,"frozenset({'Atingido_Alagamentos', 'Atingido_Des', 'Atingido_Enchente', 'Tem_Red_Des'})"
74,0.10071813285457809,"frozenset({'Atingido_Enchente', 'Atingido_Des', 'Tem_Red_Des', 'Tem_Instr_Deslizamento'})"
75,0.09299820466786356,"frozenset({'Atingido_Alagamentos', 'Atingido_Des', 'Atingido_Enchente', 'Tem_Instr_Deslizamento'})"
76,0.09245960502692999,"frozenset({'Atingido_Des', 'Atingido_Alagamentos', 'Atingido_Enchente', 'Tem_Red_Des', 'Tem_Instr_Deslizamento'})"
77,0.14416517055655295,"frozenset({'Atingido_Des', 'Tem_Red_Des', 'Tem_Instr_Deslizamento'})"
78,0.12100538599640934,"frozenset({'Atingido_Alagamentos', 'Atingido_Des', 'Tem_Red_Des'})"
79,0.11400359066427289,"frozenset({'Atingido_Alagamentos', 'Atingido_Des', 'Tem_Instr_Deslizamento'})"
80,0.11292639138240575,"frozenset({'Atingido_Alagamentos', 'Atingido_Des', 'Tem_Red_Des', 'Tem_Instr_Deslizamento'})"
81,0.0822262118491921,"frozenset({'Atingido_Enchente', 'Nao_Red_Enchente'})"
82,0.06175942549371634,"frozenset({'Atingido_Alagamentos', 'Nao_Red_Enchente'})"
83,0.06175942549371634,"frozenset({'Atingido_Alagamentos', 'Atingido_Enchente', 'Nao_Red_Enchente'})"
84,0.0689407540394973,"frozenset({'Nao_Instr_Inundacao', 'MG'})"
85,0.08061041292639139,"frozenset({'Tem_Red_Des', 'MG'})"
86,0.08007181328545782,"frozenset({'MG', 'Tem_Instr_Deslizamento'})"
87,0.06517055655296229,"frozenset({'Atingido_Alagamentos', 'MG'})"
88,0.06427289048473968,"frozenset({'Atingido_Enchente', 'MG'})"
89,0.06175942549371634,"frozenset({'Atingido_Enxurrada', 'MG'})"
90,0.07396768402154398,"frozenset({'Tem_Red_Des', 'MG', 'Tem_Instr_Deslizamento'})"
91,0.05188509874326751,"frozenset({'Atingido_Alagamentos', 'Atingido_Enchente', 'MG'})"
92,0.05816876122082585,"frozenset({'SP', 'Tem_Instr_Deslizamento'})"
93,0.05601436265709156,"frozenset({'Tem_Red_Des', 'SP'})"
94,0.05493716337522442,"frozenset({'Tem_Red_Des', 'SP', 'Tem_Instr_Deslizamento'})"
